year,major_category,workers_female,percent_female,total_earnings,total_earnings_female,wage_percent_of_male
2013,Finances,241859,23.6,120254,95921,76.04207956112951
2013,Finances,295657,30.3,73557,60759,74.97316173294999
2013,Finances,6440,43.5,67155,65325,91.32531804837132
2013,Finances,25240,58.7,61371,55860,74.29179412155872
2013,Finances,314436,41.7,78455,65040,70.69718906932759
2013,Finances,28057,63.5,74114,66052,73.33325931764941
2013,Finances,36830,33.6,62187,55079,82.7272863815918
2013,Finances,134679,27.5,99167,90940,89.75700270435658
2013,Finances,529769,53.5,70456,57406,63.58802809100778
2013,Finances,11269,76.9,71927,68207,NA
2013,Finances,181764,59.2,67669,64662,85.84059048428207
2013,Finances,21074,51.2,74735,71091,88.03402927409168
2013,Finances,40998,18.8,72414,65033,87.14873430443697
2013,Finances,79041,45,71237,62785,77.0103522716122
2013,Finances,33671,18.2,52058,52259,100.46523252013765
2013,Finances,53654,10.7,40638,25310,60.70854620901394
2013,Finances,34857,7.4,68101,62198,89.42147334521823
2013,Finances,435909,61.5,66889,60580,77.55232669781732
2013,Finances,11798,8.9,121336,113507,93.27553619853728
2013,Finances,333002,45,36586,31578,76.71266154892623
2013,Finances,1018,18.7,70805,52125,NA
2013,Finances,6662,38.5,51221,47845,91.78544708116716
2013,Finances,49037,50.9,41824,36533,72.18533886583678
2013,Finances,374381,68.6,69563,64765,76.69034931912374
2013,Finances,8133,48.5,94448,85416,70.49618698623354
2013,Finances,15888,56.2,65191,56317,72.69992900019363
2013,Finances,210414,50.8,47936,41743,73.15760879090064
2013,Finances,183449,65.5,55473,51933,83.26999855692915
2013,Finances,1760,27.4,73381,73102,NA
2013,Finances,977539,32.2,75912,63917,78.46235054381184
2013,Finances,10919,38.4,51244,47043,90.62415719514544
2013,Finances,1302,18.1,51036,50742,NA
2013,Finances,83890,49.2,42170,42990,103.29416852879692
2013,Finances,112939,51.1,54632,50058,82.12018307987597
2013,Finances,159143,61.7,51134,46520,77.4081900926835
2013,Finances,97496,50.5,62311,60054,90.00359690666028
2013,Finances,14260,13.5,57333,49443,82.06443260469052
2013,Finances,412954,72.3,54989,51765,82.12234667005109
2013,Finances,39232,73.8,50968,47927,78.454386223379
2013,Finances,55098,52,52417,50024,84.34328106558759
2013,Finances,33807,34.7,52109,50410,92.1605908808366
2013,Finances,243193,41.2,80220,72006,80.76858363899451
2013,Finances,63648,80.7,47088,46973,98.1138775169187
2013,Finances,45307,70.8,60802,57730,83.31409109276684
2013,Finances,128015,55.6,67154,60673,75.36269687484474
2013,Finances,113571,53.6,56945,51378,76.18101479790042
2013,Finances,967788,58.6,61270,54720,75.15967309937504
2013,Finances,25822,34.2,55227,45643,74.75596174004193
2013,Finances,26919,64.4,70429,65830,83.6818488057254
2013,Finances,13404,58.3,53869,51602,90.6841467057976
2013,Finances,20883,31.9,84140,63424,63.37266813880756
2013,Finances,86863,30.7,82142,60359,61.511729816766206
2013,Finances,60904,64.6,58402,52283,69.36660828955048
2013,Finances,5279,50.7,71779,60411,NA
2013,Finances,154871,54.2,54535,46394,66.53758999512377
2013,Finances,33343,65.4,49380,45704,68.46630913503311
2013,Finances,26947,52.3,56047,47997,67.94496114154668
2013,Finances,32265,54.9,61323,48869,59.69899461268767
2013,Computing,3771,29,95918,88006,NA
2013,Computing,160912,36.4,75886,69346,85.42883189198511
2013,Computing,10172,20,84140,80245,92.93101251896374
2013,Computing,76139,20.3,80512,75088,92.1234725425725
2013,Computing,183580,19.8,94025,83808,86.51773547507949
2013,Computing,40774,29.9,60056,53995,87.70262807393692
2013,Computing,119266,26,52063,49001,90.80985915492955
2013,Computing,39354,38.8,75824,61378,72.54311007103263
2013,Computing,34996,17.9,67246,61699,90.252036920556435
2013,Computing,7476,8.2,96372,94445,97.82079565816322
2013,Computing,77063,21.7,66550,65329,97.54819250123188
2013,Computing,6558,28.3,112191,106759,92.01854868599108
2013,Computing,330,17.1,79256,99362,NA
2013,Computing,58430,47.3,77172,68925,79.45428136671738
2013,Computing,15202,48.5,81209,74291,84.91564557425019
2013,Computing,1712,46.4,70370,56018,NA
2013,Computing,31098,21.4,71305,60518,80.267922276013
2013,Computing,6391,20.4,59354,50876,83.14430462493871
2013,Computing,12028,10.2,100701,90023,88.90282441240372
2013,Computing,527,17.9,70585,39356,NA
2013,Computing,1606,13,78629,85248,NA
2013,Computing,7394,13.9,100231,95507,94.9071865808093
2013,Computing,29080,11.3,81233,71854,87.72203977487762
2013,Computing,6680,13,91967,76236,NA
2013,Computing,16466,9.1,91895,81167,86.94818480787565
2013,Computing,6883,26.5,77406,72478,90.13219255593002
2013,Computing,35698,20.7,75131,66498,86.94026435864917
2013,Computing,859,7.7,81250,70430,NA
2013,Computing,4615,16.5,80011,73038,NA
2013,Computing,14657,7.1,79565,72416,90.30214607259984
2013,Computing,544,6.5,87279,108500,NA
2013,Computing,608,12.6,84017,71482,NA
2013,Computing,2606,11.2,110560,120253,NA
2013,Computing,50885,11.6,90913,81702,89
2013,Computing,21326,17.2,51609,47123,90.10823007495792
2013,Computing,63922,17.2,54623,43517,76.5510932854856
2013,Computing,4638,10.2,48685,42403,NA
2013,Computing,6390,28.8,60826,53805,85.58544228291473
2013,Computing,29064,47.7,57426,57107,99.05295474650062
2013,Computing,4421,21.8,56075,52387,89.09656791047314
2013,Computing,59616,52.8,71375,66860,83.45711682248823
2013,Computing,337,32.3,61321,70276,NA
2013,Computing,1796,19.2,101983,105332,NA
2013,Computing,2004,18.8,69873,56603,NA
2013,Computing,28208,39.6,69780,65582,91.2724590483348
2013,Computing,20289,31.1,71065,61583,79.63353290315906
2013,Computing,64844,37.8,74592,61217,71.85515581900346
2013,Computing,6147,29.3,105834,82427,68.6456910623272
2013,Computing,478,57.2,70521,70443,NA
2013,Computing,78068,67.8,66764,62146,80.81089164271876
