"variable","NorC","description"
"year","categorical","year of the data point"
"occupation","categorical","job"
"major_categroy","categorical","broad category of job"
"minor_category","categorical","specific category of job"
"total_workers","numeric","estimated total of full time workers in job"
"workers_male","numeric","estimated total of male full time workers"
"workers_female","numeric","estimated total of female full time workers"
"percent_female","numeric","percent of estimated workers that are female"
"total_earnings","numeric","estimated median earnings of all full time workers"
"total_earnings_male","numeric","estimated median earnings of all male full time workers"
"total_earnings_female","numeric","estimated median earnings of all female full time workers"
"wage_percent_female","numeric","percent of men's wages that women earn"
